ID,BOOKS,DOLLARS,DATE
132,5,67.95,10/6/2017
132,3,41.56,5/11/2018
133,1,18.99,1/1/2017
133,1,14.37,1/27/2017
133,1,9.77,2/1/2017
133,1,15.99,3/2/2017
133,3,47.33,5/4/2017
133,3,59.74,6/21/2017
133,2,32.98,11/11/2017
134,1,17.9,1/1/2017
134,1,9.99,5/5/2017
134,1,21.49,1/8/2018
135,3,41.7,1/1/2017
135,3,42.69,1/1/2017
136,2,44.98,1/1/2017
136,2,36.98,11/26/2017
137,2,27.73,1/1/2017
138,1,14.99,1/1/2017
139,1,11.77,1/6/2017
140,1,28.7,1/1/2017
140,1,15.36,5/3/2017
141,1,19.97,1/1/2017
141,2,19.54,3/16/2017
141,1,22.77,4/16/2017
141,2,44.34,8/27/2017
141,1,5.49,10/24/2017
141,1,11.88,2/22/2018
141,2,23.76,5/7/2018
142,1,15.36,1/2/2017
142,3,49.97,1/13/2017
142,1,19.99,3/30/2017
142,1,12.58,2/19/2018
142,1,24.49,4/11/2018
143,1,12.49,1/1/2017
143,1,28.99,1/1/2017
144,2,30.72,1/1/2017
145,1,14.79,1/1/2017
145,1,11.77,1/2/2017
145,2,26.73,1/12/2017
145,2,20.75,1/30/2017
145,1,15.96,2/25/2017
145,2,29.93,3/12/2017
145,4,56.47,3/12/2017
145,3,28.54,3/14/2017
145,1,13.97,4/5/2017
145,2,30.32,5/2/2017
145,1,15.96,5/3/2017
145,1,13.97,5/26/2017
145,1,13.97,7/7/2017
145,2,27.13,8/15/2017
145,2,25.98,9/13/2017
145,1,12.99,10/31/2017
145,1,12.99,11/6/2017
145,3,55.97,11/19/2017
145,1,12.58,2/23/2018
145,2,24.46,2/26/2018
145,1,11.88,3/14/2018
145,1,17.48,5/6/2018
145,2,27.37,5/30/2018
146,1,13.97,1/1/2017
147,2,27.14,1/28/2017
147,3,62.1,2/24/2017
147,1,13.97,5/17/2017
147,1,12.99,9/15/2017
147,1,14.99,9/15/2017
147,2,29.48,11/9/2017
147,6,67.94,12/3/2017
147,4,59.46,12/13/2017
148,1,14.96,1/1/2017
148,1,9.77,2/16/2017
148,1,9.77,6/2/2017
148,1,11.49,11/4/2017
148,3,40.97,11/7/2017
148,2,29.91,2/22/2018
148,2,29.57,3/21/2018
149,4,54.87,1/1/2017
149,4,51.67,1/24/2017
150,1,15.36,1/1/2017
151,1,13.97,1/1/2017
152,6,102,1/1/2017
152,2,21.54,1/6/2017
152,2,23.54,1/26/2017
152,2,28.93,2/3/2017
152,3,43.97,10/28/2017
152,2,23.98,1/18/2018
153,1,6.79,1/1/2017
154,1,14.37,1/1/2017
154,1,14.96,5/29/2017
154,1,13.99,9/27/2017
154,1,13.99,11/6/2017
154,1,11.88,4/26/2018
155,1,23.99,1/1/2017
156,1,10.77,1/1/2017
157,2,27.94,1/1/2017
157,4,52.27,2/26/2017
158,3,43.05,1/1/2017
159,2,19.75,1/1/2017
160,2,19.74,1/1/2017
161,1,19.77,1/1/2017
161,1,13.97,1/19/2017
161,3,38.9,2/22/2017
161,2,25.14,4/27/2017
161,3,36.97,9/12/2017
161,3,32.47,12/11/2017
161,3,79.97,12/14/2017
161,1,51.99,12/22/2017
161,2,25.98,2/7/2018
161,4,54.77,3/17/2018
161,2,36.98,6/1/2018
162,2,119.54,1/1/2017
163,2,25.74,1/1/2017
164,2,25.73,1/5/2017
164,3,38.5,2/7/2017
164,2,29.33,3/14/2017
164,2,27.94,6/6/2017
164,1,14.96,7/15/2017
164,3,42.7,7/25/2017
164,3,41.97,12/16/2017
164,2,24.46,6/29/2018
165,1,7.78,1/1/2017
165,2,17.98,3/11/2018
165,1,8.99,6/1/2018
166,2,29.53,1/1/2017
166,2,16.48,11/30/2017
166,3,36.97,12/13/2017
166,2,17.98,12/21/2017
166,3,36.97,12/24/2017
166,1,11.49,2/24/2018
166,1,11.88,3/18/2018
166,1,11.88,5/27/2018
167,2,30.32,1/19/2017
167,1,13.77,1/21/2017
167,1,14.96,3/8/2017
167,2,24.95,6/14/2017
167,1,12.99,10/11/2017
167,1,59.49,10/30/2017
167,1,11.49,11/23/2017
167,1,18.49,12/10/2017
168,1,14.96,1/1/2017
169,1,11.77,1/1/2017
170,2,29.92,1/1/2017
170,3,44.47,1/27/2018
171,1,14.96,1/1/2017
172,5,50.95,1/1/2017
173,1,18.36,1/1/2017
173,3,31.47,4/3/2018
174,1,15.36,1/1/2017
174,1,21.37,1/6/2017
175,1,27.77,1/1/2017
176,1,11.77,1/1/2017
177,2,42.14,1/1/2017
177,1,22.77,1/1/2017
177,1,15.99,1/3/2017
177,3,44.72,1/3/2017
177,1,14.37,1/12/2017
177,1,14.37,1/17/2017
177,1,13.97,2/2/2017
177,1,14.37,2/2/2017
177,2,30.92,2/7/2017
177,1,15.96,2/10/2017
177,1,16.76,2/23/2017
177,1,14.37,3/10/2017
177,1,15.96,3/11/2017
177,1,11.77,3/19/2017
177,1,15.36,3/19/2017
177,1,14.96,3/26/2017
177,1,14.96,4/25/2017
177,1,8.97,5/27/2017
177,1,11.77,6/8/2017
177,1,14.96,6/22/2017
177,1,14.96,7/18/2017
177,1,14.96,8/3/2017
177,1,14.96,9/5/2017
177,1,15.36,9/5/2017
177,1,15.49,10/26/2017
177,1,14.99,11/1/2017
177,1,17.99,11/19/2017
177,1,31.49,12/2/2017
177,1,22.49,12/5/2017
177,1,11.49,1/3/2018
177,1,11.49,2/4/2018
177,1,14.99,5/13/2018
178,1,12.49,1/1/2017
179,1,16.36,1/1/2017
179,1,14.96,2/15/2017
179,2,24.94,3/8/2017
179,1,21.97,7/23/2017
179,1,12.25,7/28/2017
179,1,14.96,8/3/2017
179,2,16.76,8/3/2017
179,1,9.98,8/17/2017
179,2,19.98,9/24/2017
179,1,9.99,9/25/2017
179,1,11.88,2/24/2018
180,2,25.88,1/1/2017
180,3,36.71,8/28/2017
181,3,43.7,1/1/2017
182,1,26.77,1/1/2017
182,1,12.99,9/27/2017
182,3,41.97,12/15/2017
182,1,9.99,5/18/2018
183,1,9.99,1/1/2017
184,1,19.99,1/1/2017
184,1,11.88,5/18/2018
185,3,26.07,2/27/2017
185,1,14.79,3/22/2017
185,1,6.99,3/22/2017
185,3,39.36,3/27/2018
185,2,27.98,5/22/2018
186,1,16.96,1/2/2017
186,1,17.49,9/17/2017
187,2,31.32,1/1/2017
187,1,4.79,2/2/2017
188,1,13.77,1/1/2017
189,15,294.03,1/1/2017
190,1,15.36,1/1/2017
191,6,70.23,1/5/2017
192,1,10.77,1/1/2017
192,2,30.92,1/22/2017
192,2,28.93,3/22/2017
192,3,59.69,6/1/2017
192,1,14.96,7/14/2017
192,1,14.96,8/1/2017
193,2,27.94,1/1/2017
194,10,168.89,1/1/2017
194,6,86.89,1/11/2017
195,1,15.36,1/6/2017
195,1,9.49,10/11/2017
195,2,28.98,10/24/2017
195,1,11.49,10/25/2017
195,1,22.49,10/29/2017
195,1,11.49,11/1/2017
195,1,14.49,1/20/2018
196,2,25.54,1/1/2017
197,1,12.49,1/1/2017
197,1,12.49,3/2/2017
197,1,28.99,5/5/2017
198,1,15.76,1/1/2017
199,1,14.37,1/1/2017
200,3,39.93,1/1/2017
200,2,44.36,1/22/2017
201,1,14.96,1/1/2017
201,1,14.37,4/5/2017
201,1,9.49,10/18/2017
201,1,9.49,1/11/2018
201,1,24.99,4/28/2018
202,8,113.94,1/1/2017
202,2,32.52,1/2/2017
203,1,20.99,1/1/2017
203,1,13.97,2/27/2017
203,1,14.9,4/5/2017
203,1,13.97,7/24/2017
204,5,72.23,1/15/2017
205,1,12.49,1/1/2017
205,1,19.3,3/18/2017
205,1,19.3,5/13/2017
205,2,50.98,12/7/2017
206,1,17.99,1/1/2017
207,1,19.3,1/1/2017
207,1,34.99,3/22/2017
207,3,39.97,11/16/2017
208,5,63.25,1/11/2017
208,5,70.38,2/21/2018
209,4,66.26,1/19/2017
209,2,29.92,2/24/2017
209,1,19.99,3/15/2017
210,4,59.66,1/1/2017
210,2,26.37,3/26/2018
211,1,7.78,1/1/2017
212,1,14.37,1/1/2017
213,1,10.77,1/1/2017
213,1,11.77,1/19/2017
214,1,11.77,1/1/2017
214,3,44.73,1/3/2017
214,1,14.79,1/8/2017
214,2,23.54,1/25/2017
214,3,46.51,4/7/2017
214,3,40.91,5/22/2017
214,3,39.97,10/21/2017
215,1,11.77,1/1/2017
216,1,13.97,1/1/2017
217,2,57.54,1/1/2017
217,8,113.92,12/9/2017
217,1,12.58,1/29/2018
217,1,11.88,6/2/2018
218,4,57.48,2/6/2017
219,3,38.51,1/1/2017
219,3,35.51,5/17/2017
220,4,57.85,1/1/2017
221,1,12.49,1/1/2017
222,1,29.99,1/1/2017
222,1,15.36,2/21/2017
222,2,40.98,10/30/2017
223,3,47.93,1/1/2017
224,2,28.33,1/1/2017
225,2,24.98,1/1/2017
225,3,37.47,1/18/2017
225,1,6.79,2/27/2017
225,1,12.49,4/16/2017
225,1,23.88,8/1/2017
226,2,35.93,1/2/2017
226,2,26.73,2/23/2017
226,2,23.76,4/20/2017
226,2,24.74,7/19/2017
226,1,15.49,2/15/2018
226,3,43.47,5/5/2018
227,1,34.97,1/1/2017
227,1,13.77,1/17/2017
227,1,14.96,3/8/2017
227,3,86.51,5/11/2017
227,1,14.37,8/24/2017
228,2,25.98,1/1/2017
228,2,23.54,2/6/2017
228,1,13.97,2/11/2017
228,1,27.77,2/12/2017
228,1,9.98,2/28/2017
228,1,15.36,3/11/2017
228,1,21.97,5/27/2017
228,1,17.3,5/31/2017
228,3,51.75,7/8/2017
228,2,36.74,8/7/2017
228,1,23.97,8/28/2017
228,3,41.47,12/29/2017
228,1,29.99,1/6/2018
229,1,12.49,1/1/2017
229,2,19.28,1/6/2017
229,1,12.25,8/12/2017
229,2,19.98,3/12/2018
229,1,19.49,6/27/2018
230,2,39.98,1/1/2017
230,2,39.98,6/6/2017
231,5,69.04,1/1/2017
232,2,42.98,1/1/2017
233,1,12.99,1/1/2017
234,1,13.97,1/1/2017
234,1,9.99,2/4/2017
235,1,7.98,1/1/2017
236,1,16.7,1/1/2017
237,2,23.54,1/1/2017
238,7,88.69,1/23/2017
238,3,36.33,2/6/2017
238,4,59.06,4/20/2017
238,3,47.89,6/25/2017
238,6,73.22,7/27/2017
239,2,28.74,1/1/2017
240,1,15.99,1/1/2017
240,1,14.96,3/8/2017
241,2,24.74,1/16/2017
241,1,14.96,5/3/2017
241,2,36.37,3/26/2018
241,2,24.48,5/9/2018
242,3,35.11,1/1/2017
242,2,30.32,1/17/2017
243,2,17.96,1/2/2017
244,3,46.64,1/1/2017
244,8,117.6,1/30/2017
244,3,35.31,2/4/2017
244,3,41.69,2/22/2017
244,4,56.47,3/28/2017
244,2,30.96,3/29/2017
244,3,41.9,4/2/2017
244,3,44.88,4/20/2017
244,11,144.98,7/27/2017
244,4,59.65,8/11/2017
244,1,46.77,8/11/2017
244,3,32.31,8/17/2017
244,7,96.97,8/23/2017
244,5,65.95,9/10/2017
244,1,12.99,9/14/2017
244,9,119.41,11/20/2017
244,6,86.44,1/24/2018
244,4,44.46,3/12/2018
244,1,27.99,3/13/2018
244,2,32.48,3/29/2018
244,2,36.71,4/9/2018
244,1,11.88,5/14/2018
244,1,26.99,6/3/2018
244,1,12.99,6/7/2018
244,1,12.99,6/10/2018
245,1,14.96,1/1/2017
245,1,7.99,3/17/2017
245,1,12.99,10/22/2017
245,2,30.48,12/3/2017
245,1,10.49,12/3/2017
245,4,57.85,1/21/2018
245,1,13.99,6/11/2018
246,1,12.97,1/2/2017
246,3,37.51,1/17/2017
246,2,28.34,2/16/2017
246,3,37.51,2/18/2017
246,7,85.79,4/23/2017
246,4,52.87,5/8/2017
246,2,31.32,6/18/2017
246,1,29.37,7/24/2017
246,2,30.92,9/5/2017
246,2,30.98,9/28/2017
246,4,74.46,10/19/2017
246,3,41.47,10/22/2017
246,1,13.99,12/4/2017
246,4,57.46,12/14/2017
246,2,27.48,12/23/2017
246,2,26.87,2/3/2018
246,3,45.47,3/9/2018
246,1,11.88,3/14/2018
246,2,22.67,3/26/2018
246,4,50.85,6/20/2018
247,1,19.3,2/3/2017
247,1,23.88,7/26/2017
247,1,19.99,12/16/2017
